id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
27fdcf10-6c94-43af-a213-d91290e48a0e,Davi Miguel Souza,1958-10-02,674.145.755-43,64388275,Montenegro das Flores,RR,Brasil,M,(041) 5277-0377,67414575543@exemplo.com.br,2024-10-16
f8ef3bd0-990d-403c-b4d7-96c6c4477984,Nina Oliveira,1980-04-22,333.499.007-23,88531744,Moraes da Praia,SP,Brasil,M,+55 (084) 8907 5434,33349900723@exemplo.com.br,2024-08-29
d944a182-6bb5-4d3e-8ccf-e104cb5b3270,Allana Rezende,1975-04-30,736.108.252-70,29017878,Nascimento,AL,Brasil,F,0800-420-7872,73610825270@exemplo.com.br,2025-03-30
1aaacdd9-9607-4526-9592-f889cee2d88b,Nathan Oliveira,1966-09-03,013.701.048-88,08108-973,da Paz do Oeste,MA,Brasil,M,+55 (061) 0620 0145,01370104888@exemplo.com.br,2023-12-27
3e175719-70fc-4a45-a1b1-34cb120fce41,Heitor Vieira,1978-07-27,644.914.412-45,41237199,Monteiro Paulista,RO,Brasil,M,+55 81 3525 0707,64491441245@exemplo.com.br,2025-06-01
454c6547-c3ce-47a1-b163-932508541c63,Ana Beatriz Martins,1960-02-23,207.178.451-56,28717-801,Martins,MA,Brasil,M,71 2889 4942,20717845156@exemplo.com.br,2025-02-28
61870de7-fb29-439a-a9a6-7d70fa003974,Pietro Sá,1986-05-14,369.706.210-87,93494-680,Nogueira do Amparo,MA,Brasil,M,21 6330-3498,36970621087@exemplo.com.br,2024-01-29
69d222f3-9558-4c52-9fa7-169b7cabd81a,Rebeca Montenegro,1993-12-06,288.628.319-91,11071383,Campos,MS,Brasil,M,+55 (061) 5480-9441,28862831991@exemplo.com.br,2023-11-23
ece5545a-e571-4371-b2d8-e0ac575b5cff,Matteo Farias,1941-07-14,652.065.616-30,70264132,Araújo,MA,Brasil,F,0500-023-7095,65206561630@exemplo.com.br,2025-05-17
33ab9e88-89da-41b9-bcb1-618f679437b6,Pedro Teixeira,1986-09-03,738.031.012-85,30487-626,Ferreira,PE,Brasil,M,21 6818-7710,73803101285@exemplo.com.br,2024-07-08
b44efb5c-0219-4de8-80fa-d5fadb041b4c,Juliana Jesus,1990-04-17,316.157.480-15,28244-782,Câmara de Goiás,SE,Brasil,M,+55 21 6469-4355,31615748015@exemplo.com.br,2025-04-21
d73f577c-65a0-404d-a73a-629cdae6fe91,Rodrigo Rios,1963-07-09,427.766.550-74,95542-693,da Paz,MT,Brasil,M,+55 (061) 6653 4366,42776655074@exemplo.com.br,2024-03-06
2539d536-ab7e-4170-82df-f51bf8bc1c52,Nina Cavalcanti,1984-03-15,531.747.772-61,80328-788,Cirino,MT,Brasil,M,81 8938 2247,53174777261@exemplo.com.br,2023-08-16
74f8aaa7-fe51-4338-89a5-ec32673b6087,Pietra Montenegro,1966-02-02,277.975.317-68,24548790,Monteiro de Monteiro,PE,Brasil,M,(061) 1153-0987,27797531768@exemplo.com.br,2023-11-14
b3dc7fa4-2274-4704-909f-9c88fd295883,Henry Azevedo,1968-03-31,731.181.461-41,86044-136,Freitas de Minas,RN,Brasil,M,+55 21 7348-4237,73118146141@exemplo.com.br,2024-04-28
79cdb4bc-2744-433a-a42e-bb909831afaa,Giovanna Viana,2002-07-06,509.833.666-42,21717244,Cavalcanti,PB,Brasil,M,+55 71 8085 3923,50983366642@exemplo.com.br,2023-08-23
b54d985c-6ae7-4dd6-ad24-0a8bc12c12a1,Srta. Ana Julia Caldeira,1990-10-04,900.678.989-29,01801114,Moraes de Oliveira,PA,Brasil,F,+55 31 8783-7345,90067898929@exemplo.com.br,2024-08-19
6098b168-e505-41b4-bc70-179ef2bdf43e,João Lucas Pereira,1976-10-27,068.392.106-76,57056014,Andrade,GO,Brasil,M,+55 (071) 2804-2513,06839210676@exemplo.com.br,2024-08-07
a8777d20-9d1e-46c3-9285-abdcb141dafd,Stephany Costela,1940-07-05,080.175.465-38,72958257,da Paz de Pimenta,RN,Brasil,F,+55 21 2873 3584,08017546538@exemplo.com.br,2023-08-29
